dev,district,sale_price,asking_price,asking_price_change_quater,asking_price_change_year,gross_rental_yield,rental_price_change_year,bedrooms,bathrooms,internal_area,floors,towers,year_built,has_elevator,has_parking,has_security,has_cctv,has_pool,has_sauna,has_gym,has_garden_bbq,has_playground,has_shop_on_premise,has_restaurant_on_premise,has_wifi,city_train_distance,express_way_distance,close_city_train,close_express_way
Ideo Mobi Sukhumvit Eastgate,Bang Na,2200000.0,124724.0,0.0,-1.8,4.56,-0.63,1.0,,21.0,30.0,1.0,2016.0,1,1,1,1,1,0,1,1,0,0,0,0,340.0,1600.0,1,0
The Link Vano 64,Bang Na,2750000.0,75834.0,0.0,9.45,4.79,12.64,1.0,,35.98,8.0,1.0,,1,1,1,1,1,0,1,1,0,1,0,1,560.0,950.0,1,1
The Sky Sukhumvit,Bang Na,3480000.0,116600.0,0.0,20.29,3.91,-15.93,1.0,1.0,24.0,26.0,4.0,2015.0,1,1,1,1,1,0,1,1,0,0,0,0,420.0,1100.0,1,0
The Sky Sukhumvit,Bang Na,3350000.0,116600.0,0.0,20.29,3.91,-15.93,1.0,1.0,24.0,26.0,4.0,2015.0,1,1,1,1,1,0,1,1,0,0,0,0,420.0,1100.0,1,0
Ideo Mix Sukhumvit 103,Bang Na,5500000.0,96101.0,-10.98,-4.32,4.84,-6.05,1.0,1.0,37.0,21.0,2.0,2010.0,1,1,1,1,1,0,1,1,0,1,0,0,300.0,1600.0,1,0
Elio Condo,Bang Na,2300000.0,76276.0,0.0,14.64,5.55,-10.18,1.0,1.0,31.0,8.0,4.0,2014.0,1,1,1,1,1,0,1,1,1,0,0,0,770.0,1600.0,1,0
Ideo Mix Sukhumvit 103,Bang Na,2900000.0,96101.0,-10.98,-4.32,4.84,-6.05,1.0,1.0,30.5,21.0,2.0,2010.0,1,1,1,1,1,0,1,1,0,1,0,0,300.0,1600.0,1,0
The Origin Sukhumvit 105,Bang Na,2800000.0,85019.0,0.0,0.0,4.7,4.72,1.0,1.0,27.63,8.0,3.0,2020.0,1,1,1,1,1,0,1,1,0,0,0,0,2000.0,3100.0,0,0
The Origin Sukhumvit 105,Bang Na,2800000.0,85019.0,0.0,0.0,4.7,4.72,1.0,1.0,27.63,8.0,3.0,2020.0,1,1,1,1,1,0,1,1,0,0,0,0,2000.0,3100.0,0,0
Elio Del Ray,Bang Na,2800000.0,71473.0,0.0,-18.18,5.44,-11.48,1.0,2.0,28.0,8.0,8.0,2014.0,1,1,1,1,1,0,1,1,1,0,0,0,830.0,860.0,1,1
The Sky Sukhumvit,Bang Na,5400000.0,116600.0,0.0,20.29,3.91,-15.93,1.0,1.0,35.0,26.0,4.0,2015.0,1,1,1,1,1,0,1,1,0,0,0,0,420.0,1100.0,1,0
The Sky Sukhumvit,Bang Na,5100000.0,116600.0,0.0,20.29,3.91,-15.93,1.0,1.0,35.0,26.0,4.0,2015.0,1,1,1,1,1,0,1,1,0,0,0,0,420.0,1100.0,1,0
The Sky Sukhumvit,Bang Na,3700000.0,116600.0,0.0,20.29,3.91,-15.93,1.0,1.0,24.0,26.0,4.0,2015.0,1,1,1,1,1,0,1,1,0,0,0,0,420.0,1100.0,1,0
The Sky Sukhumvit,Bang Na,5100000.0,116600.0,0.0,20.29,3.91,-15.93,1.0,1.0,35.0,26.0,4.0,2015.0,1,1,1,1,1,0,1,1,0,0,0,0,420.0,1100.0,1,0
The Origin Sukhumvit 105,Bang Na,4000000.0,85019.0,0.0,0.0,4.7,4.72,2.0,2.0,45.49,8.0,3.0,2020.0,1,1,1,1,1,0,1,1,0,0,0,0,2000.0,3100.0,0,0
The Nest Sukhumvit 64,Bang Na,2800000.0,94132.0,0.0,-3.16,4.63,-12.32,1.0,1.0,27.0,8.0,3.0,2019.0,1,1,1,1,1,0,1,1,0,0,0,0,750.0,800.0,1,1
Supalai City Resort Bearing Station Sukumvit 105,Bang Na,4650000.0,77326.0,0.0,-28.25,4.55,-30.4,2.0,2.0,57.0,8.0,2.0,2014.0,1,1,1,1,1,0,1,0,0,0,0,1,340.0,2300.0,1,0
City Home Sukhumvit,Bang Na,3600000.0,61731.0,0.0,10.4,4.63,2.15,1.0,1.0,50.0,8.0,6.0,2008.0,1,1,1,1,0,0,0,0,0,1,0,0,330.0,1700.0,1,0
The Sky Sukhumvit,Bang Na,5500000.0,116600.0,0.0,20.29,3.91,-15.93,1.0,1.0,35.0,26.0,4.0,2015.0,1,1,1,1,1,0,1,1,0,0,0,0,420.0,1100.0,1,0
Supalai City Resort Bearing Station Sukumvit 105,Bang Na,2781000.0,77326.0,0.0,-28.25,4.55,-30.4,1.0,1.0,33.0,8.0,2.0,2014.0,1,1,1,1,1,0,1,0,0,0,0,1,340.0,2300.0,1,0
The Muse,Bang Na,4000000.0,73176.0,0.0,-4.86,5.31,10.58,1.0,1.0,65.0,7.0,1.0,2008.0,1,1,1,1,1,0,1,0,0,0,0,0,520.0,1400.0,1,0
The Sky Sukhumvit,Bang Na,4600000.0,116600.0,0.0,20.29,3.91,-15.93,1.0,1.0,30.0,26.0,4.0,2015.0,1,1,1,1,1,0,1,1,0,0,0,0,420.0,1100.0,1,0
The Niche Mono Bangna,Bang Na,3000000.0,62381.0,0.0,-3.39,4.83,-21.81,1.0,1.0,42.0,8.0,4.0,2012.0,1,1,1,1,1,0,1,0,0,0,0,1,4300.0,,0,0
IDEO O2,Bang Na,3790000.0,106841.0,0.0,-0.03,4.63,-7.83,1.0,1.0,32.77,34.0,3.0,2018.0,1,1,1,1,1,0,1,1,1,1,1,1,890.0,760.0,1,1
Elio Del Nest Udomsuk,Bang Na,3150000.0,115154.0,0.0,12.49,4.22,8.0,1.0,1.0,31.95,35.0,7.0,,1,1,1,1,1,0,1,1,1,1,0,0,790.0,2100.0,1,0
Elio Del Nest Udomsuk,Bang Na,3650000.0,115154.0,0.0,12.49,4.22,8.0,1.0,1.0,32.0,35.0,7.0,,1,1,1,1,1,0,1,1,1,1,0,0,790.0,2100.0,1,0
Abstracts Sukhumvit 66/1,Bang Na,3200000.0,89532.0,0.0,0.34,3.51,-9.03,2.0,2.0,48.0,5.0,2.0,2011.0,1,1,1,1,1,0,1,1,0,0,0,0,380.0,1400.0,1,0
Ideo Mix Sukhumvit 103,Bang Na,3650000.0,96101.0,-10.98,-4.32,4.84,-6.05,1.0,1.0,32.0,21.0,2.0,2010.0,1,1,1,1,1,0,1,1,0,1,0,0,300.0,1600.0,1,0
Elio Del Ray,Bang Na,3200000.0,71473.0,0.0,-18.18,5.44,-11.48,1.0,1.0,34.5,8.0,8.0,2014.0,1,1,1,1,1,0,1,1,1,0,0,0,830.0,860.0,1,1
The Coast Bangkok,Bang Na,6950000.0,111028.0,0.0,-8.33,4.27,-3.66,2.0,1.0,62.0,39.0,2.0,2012.0,1,1,1,1,1,0,1,1,0,1,0,1,680.0,840.0,1,1
Skyrise Avenue Sukhumvit 64,Bang Na,7200000.0,126439.0,0.0,0.0,0.0,,3.0,2.0,90.0,49.0,4.0,2024.0,1,1,1,1,1,0,1,0,0,0,0,1,,,0,0
Elio Del Nest Udomsuk,Bang Na,3090000.0,115154.0,0.0,12.49,4.22,8.0,1.0,1.0,31.38,35.0,7.0,,1,1,1,1,1,0,1,1,1,1,0,0,790.0,2100.0,1,0
The Niche Mono Bangna,Bang Na,3100000.0,62381.0,0.0,-3.39,4.83,-21.81,1.0,1.0,34.73,8.0,4.0,2012.0,1,1,1,1,1,0,1,0,0,0,0,1,4300.0,,0,0
Villa Lasalle,Bang Na,3200000.0,72764.0,0.0,-7.9,5.49,7.07,2.0,1.0,35.13,8.0,2.0,2016.0,1,1,1,1,1,0,1,1,0,1,1,1,1100.0,3200.0,0,0
Elio Del Ray,Bang Na,2420500.0,71473.0,0.0,-18.18,5.44,-11.48,1.0,1.0,30.0,8.0,8.0,2014.0,1,1,1,1,1,0,1,1,1,0,0,0,830.0,860.0,1,1
IDEO Mobi Sukhumvit 66,Bang Na,6450000.0,163916.0,0.0,8.36,4.77,9.6,1.0,1.0,35.42,28.0,1.0,2018.0,1,1,1,1,1,0,1,1,1,0,0,1,250.0,1600.0,1,0
Ideo Mobi Sukhumvit Eastgate,Bang Na,4500000.0,124724.0,0.0,-1.8,4.56,-0.63,1.0,1.0,30.0,30.0,1.0,2016.0,1,1,1,1,1,0,1,1,0,0,0,0,340.0,1600.0,1,0
Skyrise Avenue Sukhumvit 64,Bang Na,4000000.0,126439.0,0.0,0.0,0.0,,1.0,1.0,34.41,49.0,4.0,2024.0,1,1,1,1,1,0,1,0,0,0,0,1,,,0,0
The Coast Bangkok,Bang Na,6650000.0,111028.0,0.0,-8.33,4.27,-3.66,1.0,1.0,44.0,39.0,2.0,2012.0,1,1,1,1,1,0,1,1,0,1,0,1,680.0,840.0,1,1
The Origin Sukhumvit 105,Bang Na,2200000.0,85019.0,0.0,0.0,4.7,4.72,1.0,1.0,27.65,8.0,3.0,2020.0,1,1,1,1,1,0,1,1,0,0,0,0,2000.0,3100.0,0,0
Ideo Mobi Sukhumvit Eastgate,Bang Na,4010000.0,124724.0,0.0,-1.8,4.56,-0.63,1.0,1.0,31.0,30.0,1.0,2016.0,1,1,1,1,1,0,1,1,0,0,0,0,340.0,1600.0,1,0
IDEO O2,Bang Na,3199000.0,106841.0,0.0,-0.03,4.63,-7.83,1.0,1.0,32.75,34.0,3.0,2018.0,1,1,1,1,1,0,1,1,1,1,1,1,890.0,760.0,1,1
Supalai City Resort Bearing Station Sukumvit 105,Bang Na,3500000.0,77326.0,0.0,-28.25,4.55,-30.4,1.0,1.0,45.0,8.0,2.0,2014.0,1,1,1,1,1,0,1,0,0,0,0,1,340.0,2300.0,1,0
Supalai City Resort Bearing Station Sukumvit 105,Bang Na,2690000.0,77326.0,0.0,-28.25,4.55,-30.4,1.0,1.0,33.0,8.0,2.0,2014.0,1,1,1,1,1,0,1,0,0,0,0,1,340.0,2300.0,1,0
The Series Udomsuk,Bang Na,2500000.0,69481.0,0.0,14.79,4.77,-11.82,1.0,1.0,34.0,8.0,1.0,2016.0,1,1,1,1,1,0,1,1,0,1,0,1,1900.0,3200.0,0,0
Centric Scene Sukhumvit 64,Bang Na,6900000.0,80842.0,0.0,2.44,4.04,-2.51,2.0,2.0,71.0,22.0,1.0,2009.0,1,1,1,1,1,0,1,0,0,0,0,1,610.0,1800.0,1,0
Whizdom Connect Sukhumvit,Bang Na,13000000.0,156535.0,0.0,1.4,3.32,-12.7,3.0,2.0,81.3,41.0,1.0,2017.0,1,1,1,1,1,1,1,0,1,1,1,1,370.0,1600.0,1,0
The Coast Bangkok,Bang Na,4200000.0,111028.0,0.0,-8.33,4.27,-3.66,1.0,1.0,36.0,39.0,2.0,2012.0,1,1,1,1,1,0,1,1,0,1,0,1,680.0,840.0,1,1
Sense Sukhumvit,Bang Na,4200000.0,79637.0,0.0,18.65,5.26,-0.85,2.0,2.0,60.02,8.0,1.0,2009.0,1,1,1,1,1,1,1,0,0,0,0,0,510.0,1400.0,1,0
IDEO O2,Bang Na,3350000.0,106841.0,0.0,-0.03,4.63,-7.83,1.0,1.0,33.78,34.0,3.0,2018.0,1,1,1,1,1,0,1,1,1,1,1,1,890.0,760.0,1,1
IDEO O2,Bang Na,3610000.0,106841.0,0.0,-0.03,4.63,-7.83,1.0,1.0,32.4,34.0,3.0,2018.0,1,1,1,1,1,0,1,1,1,1,1,1,890.0,760.0,1,1
Ideo Blucove Sukhumvit,Bang Na,2890000.0,116131.0,0.0,-64.81,4.04,-11.34,1.0,1.0,32.0,18.0,1.0,2012.0,1,1,1,1,1,0,1,1,1,1,0,0,130.0,1300.0,1,0
Lumpini Ville Lasalle - Barring,Bang Na,4850000.0,56829.0,0.0,-0.51,6.17,5.04,2.0,2.0,52.0,15.0,4.0,2012.0,1,1,1,1,1,0,1,1,1,1,1,0,2800.0,3800.0,0,0
Elio Del Nest Udomsuk,Bang Na,3750000.0,115154.0,0.0,12.49,4.22,8.0,1.0,1.0,31.14,35.0,7.0,,1,1,1,1,1,0,1,1,1,1,0,0,790.0,2100.0,1,0
NUE NOBLE SRINAKARIN-LASALLE,Bang Na,2675000.0,78618.0,2.31,2.72,0.0,,1.0,1.0,30.58,43.0,1.0,2022.0,1,1,1,1,1,0,1,1,1,0,0,0,,,0,0
NUE NOBLE SRINAKARIN-LASALLE,Bang Na,2705000.0,78618.0,2.31,2.72,0.0,,1.0,1.0,30.6,43.0,1.0,2022.0,1,1,1,1,1,0,1,1,1,0,0,0,,,0,0
The Origin Sukhumvit 105,Bang Na,4400000.0,85019.0,0.0,0.0,4.7,4.72,2.0,2.0,55.31,8.0,3.0,2020.0,1,1,1,1,1,0,1,1,0,0,0,0,2000.0,3100.0,0,0
IDEO Mobi Sukhumvit 66,Bang Na,9950000.0,163916.0,0.0,8.36,4.77,9.6,2.0,1.0,52.0,28.0,1.0,2018.0,1,1,1,1,1,0,1,1,1,0,0,1,250.0,1600.0,1,0
NUE NOBLE SRINAKARIN-LASALLE,Bang Na,2793000.0,78618.0,2.31,2.72,0.0,,1.0,1.0,30.56,43.0,1.0,2022.0,1,1,1,1,1,0,1,1,1,0,0,0,,,0,0
NUE NOBLE SRINAKARIN-LASALLE,Bang Na,2689000.0,78618.0,2.31,2.72,0.0,,1.0,1.0,30.34,43.0,1.0,2022.0,1,1,1,1,1,0,1,1,1,0,0,0,,,0,0
Elio Del Nest Udomsuk,Bang Na,5710000.0,115154.0,0.0,12.49,4.22,8.0,2.0,2.0,52.5,35.0,7.0,,1,1,1,1,1,0,1,1,1,1,0,0,790.0,2100.0,1,0
The Nest Sukhumvit 64,Bang Na,2390000.0,94132.0,0.0,-3.16,4.63,-12.32,1.0,1.0,28.77,8.0,3.0,2019.0,1,1,1,1,1,0,1,1,0,0,0,0,750.0,800.0,1,1
IDEO O2,Bang Na,5520000.0,106841.0,0.0,-0.03,4.63,-7.83,2.0,2.0,53.0,34.0,3.0,2018.0,1,1,1,1,1,0,1,1,1,1,1,1,890.0,760.0,1,1
The Nest Sukhumvit 64,Bang Na,3000000.0,94132.0,0.0,-3.16,4.63,-12.32,1.0,1.0,28.6,8.0,3.0,2019.0,1,1,1,1,1,0,1,1,0,0,0,0,750.0,800.0,1,1
Supalai City Resort Bearing Station Sukumvit 105,Bang Na,3000000.0,77326.0,0.0,-28.25,4.55,-30.4,1.0,1.0,41.0,8.0,2.0,2014.0,1,1,1,1,1,0,1,0,0,0,0,1,340.0,2300.0,1,0
Villa Lasalle,Bang Na,2500000.0,72764.0,0.0,-7.9,5.49,7.07,1.0,1.0,32.48,8.0,2.0,2016.0,1,1,1,1,1,0,1,1,0,1,1,1,1100.0,3200.0,0,0
The Nest Sukhumvit 64,Bang Na,2390000.0,94132.0,0.0,-3.16,4.63,-12.32,1.0,1.0,28.77,8.0,3.0,2019.0,1,1,1,1,1,0,1,1,0,0,0,0,750.0,800.0,1,1
Whizdom Connect Sukhumvit,Bang Na,4250000.0,156535.0,0.0,1.4,3.32,-12.7,1.0,1.0,29.0,41.0,1.0,2017.0,1,1,1,1,1,1,1,0,1,1,1,1,370.0,1600.0,1,0
